Size of Array , Type of Array , Sorting Algorithm , Number of Comparisons, Execution Time
13,Random,Heap,62,6e-07
13,Random,Bubble,78,8e-07
13,Random,Selection,78,6e-07
13,Random,Insertion,59,5e-07
13,Sorted,Heap,55,5e-07
13,Sorted,Bubble,12,1e-07
13,Sorted,Selection,78,4e-07
13,Sorted,Insertion,12,1e-07
13,Inversely-sorted,Heap,63,6e-07
13,Inversely-sorted,Bubble,78,7e-07
13,Inversely-sorted,Selection,78,5e-07
13,Inversely-sorted,Insertion,78,7e-07
14,Random,Heap,69,8e-07
14,Random,Bubble,91,8e-07
14,Random,Selection,91,7e-07
14,Random,Insertion,50,5e-07
14,Sorted,Heap,61,6e-07
14,Sorted,Bubble,13,1e-07
14,Sorted,Selection,91,4e-07
14,Sorted,Insertion,13,1e-07
14,Inversely-sorted,Heap,69,8e-07
14,Inversely-sorted,Bubble,91,7e-07
14,Inversely-sorted,Selection,91,5e-07
14,Inversely-sorted,Insertion,91,7e-07
15,Random,Heap,74,9e-07
15,Random,Bubble,95,8e-07
15,Random,Selection,105,7e-07
15,Random,Insertion,73,6e-07
15,Sorted,Heap,66,6e-07
15,Sorted,Bubble,14,1e-07
15,Sorted,Selection,105,4e-07
15,Sorted,Insertion,14,1e-07
15,Inversely-sorted,Heap,77,7e-07
15,Inversely-sorted,Bubble,105,8e-07
15,Inversely-sorted,Selection,105,5e-07
15,Inversely-sorted,Insertion,105,8e-07
16,Random,Heap,81,1e-06
16,Random,Bubble,117,1e-06
16,Random,Selection,120,8e-07
16,Random,Insertion,67,6e-07
16,Sorted,Heap,72,7e-07
16,Sorted,Bubble,15,1e-07
16,Sorted,Selection,120,5e-07
16,Sorted,Insertion,15,2e-07
16,Inversely-sorted,Heap,85,8e-07
16,Inversely-sorted,Bubble,120,9e-07
16,Inversely-sorted,Selection,120,6e-07
16,Inversely-sorted,Insertion,120,9e-07
17,Random,Heap,87,9e-07
17,Random,Bubble,121,1.1e-06
17,Random,Selection,136,8e-07
17,Random,Insertion,71,6e-07
17,Sorted,Heap,79,8e-07
17,Sorted,Bubble,16,1e-07
17,Sorted,Selection,136,5e-07
17,Sorted,Insertion,16,2e-07
17,Inversely-sorted,Heap,95,9e-07
17,Inversely-sorted,Bubble,136,9e-07
17,Inversely-sorted,Selection,136,6e-07
17,Inversely-sorted,Insertion,136,1e-06
18,Random,Heap,98,1e-06
18,Random,Bubble,143,1e-06
18,Random,Selection,153,8e-07
18,Random,Insertion,69,6e-07
18,Sorted,Heap,87,8e-07
18,Sorted,Bubble,17,1e-07
18,Sorted,Selection,153,5e-07
18,Sorted,Insertion,17,2e-07
18,Inversely-sorted,Heap,103,1e-06
18,Inversely-sorted,Bubble,153,1e-06
18,Inversely-sorted,Selection,153,6e-07
18,Inversely-sorted,Insertion,153,1.1e-06
19,Random,Heap,100,1e-06
19,Random,Bubble,150,1e-06
19,Random,Selection,171,8e-07
19,Random,Insertion,77,6e-07
19,Sorted,Heap,99,9e-07
19,Sorted,Bubble,18,1e-07
19,Sorted,Selection,171,5e-07
19,Sorted,Insertion,18,1e-07
19,Inversely-sorted,Heap,113,1.1e-06
19,Inversely-sorted,Bubble,171,1.2e-06
19,Inversely-sorted,Selection,171,7e-07
19,Inversely-sorted,Insertion,171,1.2e-06
20,Random,Heap,114,1.1e-06
20,Random,Bubble,184,1.3e-06
20,Random,Selection,190,9e-07
20,Random,Insertion,105,8e-07
20,Sorted,Heap,105,9e-07
20,Sorted,Bubble,19,1e-07
20,Sorted,Selection,190,6e-07
20,Sorted,Insertion,19,2e-07
20,Inversely-sorted,Heap,121,1.1e-06
20,Inversely-sorted,Bubble,190,1.3e-06
20,Inversely-sorted,Selection,190,7e-07
20,Inversely-sorted,Insertion,190,1.2e-06
